WBGene00000001 Y110A7A.10.1 5107843 5108016 5108017 5108063 5108064 5108323
WBGene00000001 Y110A7A.10.1 5108064 5108323 5108324 5108504 5108505 5108770
WBGene00000001 Y110A7A.10.1 5108505 5108770 5108771 5108997 5108998 5109429
WBGene00000001 Y110A7A.10.1 5108998 5109429 5109430 5109509 5109510 5110183
WBGene00000002 F27C8.1.1 9601517 9601695 9601696 9601039 9601040 9601345
WBGene00000002 F27C8.1.1 9601040 9601345 9601346 9600827 9600828 9600953
WBGene00000002 F27C8.1.1 9600828 9600953 9600954 9600626 9600627 9600780
WBGene00000002 F27C8.1.1 9600627 9600780 9600781 9600001 9600002 9600392
WBGene00000002 F27C8.1.1 9600002 9600392 9600393 9599701 9599702 9599873
WBGene00000002 F27C8.1.1 9599702 9599873 9599874 9599560 9599561 9599653
