PGTG_15949	EFP90101	82614	83305	83306	83545	83546	83660
PGTG_15949	EFP90101	83546	83660	83661	83688	83689	83739
PGTG_15942	EFP90094	45523	45583	45584	45664	45665	45762
PGTG_15942	EFP90094	45665	45762	45763	45855	45856	45916
PGTG_15942	EFP90094	45856	45916	45917	46058	46059	46161
PGTG_15942	EFP90094	46059	46161	46162	46264	46265	46615
PGTG_15940	EFP90092	42669	42835	42836	42910	42911	42973
PGTG_15940	EFP90092	42911	42973	42974	43224	43225	43288
PGTG_15940	EFP90092	43225	43288	43289	43643	43644	43680
PGTG_15940	EFP90092	43644	43680	43681	44164	44165	44211
PGTG_15975	EFP90127	216431	216465	216466	216672	216673	216685
PGTG_15975	EFP90127	216673	216685	216686	217012	217013	217145
PGTG_15975	EFP90127	217013	217145	217146	217798	217799	217825
PGTG_15975	EFP90127	217799	217825	217826	218112	218113	218301
PGTG_15975	EFP90127	218113	218301	218302	218372	218373	218392
PGTG_15995	EFP90147	303701	304052	304053	304141	304142	304713
PGTG_15995	EFP90147	304142	304713	304714	304799	304800	305044
PGTG_15995	EFP90147	304800	305044	305045	305149	305150	305242
PGTG_15995	EFP90147	305150	305242	305243	305319	305320	305442
PGTG_15995	EFP90147	305320	305442	305443	305532	305533	306196
PGTG_15960	EFP90112	155660	156842	156843	156954	156955	157642
PGTG_15993	EFP90145	295917	296051	296052	296130	296131	296559
PGTG_15993	EFP90145	296131	296559	296560	296628	296629	296941
PGTG_15993	EFP90145	296629	296941	296942	297049	297050	297450
PGTG_15993	EFP90145	297050	297450	297451	297550	297551	297989
PGTG_15993	EFP90145	297551	297989	297990	298054	298055	298140
PGTG_15993	EFP90145	298055	298140	298141	298227	298228	298355
PGTG_15993	EFP90145	298228	298355	298356	298444	298445	298546
PGTG_15993	EFP90145	298445	298546	298547	298611	298612	300078
PGTG_15981	EFP90133	245256	245447	245448	245700	245701	245779
PGTG_15981	EFP90133	245701	245779	245780	245940	245941	246135
PGTG_15981	EFP90133	245941	246135	246136	246241	246242	246279
PGTG_15992	EFP90144	292819	292867	292868	292961	292962	293383
PGTG_15992	EFP90144	292962	293383	293384	293453	293454	294672
PGTG_15992	EFP90144	293454	294672	294673	294928	294929	295055
PGTG_15992	EFP90144	294929	295055	295056	295162	295163	295377
PGTG_15955	EFP90107	108938	108988	108989	109072	109073	110812
PGTG_15955	EFP90107	109073	110812	110813	110889	110890	111057
PGTG_15945	EFP90097	64787	65158	65159	65232	65233	65724
PGTG_15945	EFP90097	65233	65724	65725	65805	65806	66083
PGTG_15945	EFP90097	65806	66083	66084	66145	66146	66299
PGTG_15945	EFP90097	66146	66299	66300	66374	66375	66848
PGTG_15945	EFP90097	66375	66848	66849	66943	66944	67075
PGTG_15987	EFP90139	262677	263629	263630	263794	263795	264571
PGTG_15987	EFP90139	263795	264571	264572	264642	264643	265201
PGTG_16005	EFP90157	374144	374222	374223	374293	374294	374410
