NCU09306	EDO64868	950	1326	1327	1428	1429	2274
NCU11424	EDO64867	2483	4354	4355	4415	4416	4931
NCU09305	EAA29215	5593	6215	6216	6268	6269	6373
NCU09305	EAA29215	6269	6373	6374	6446	6447	6962
NCU09304	EAA29214	6964	8334	8335	8422	8423	8885
NCU09302	EAA29212	11354	12127	12128	12192	12193	13870
NCU09301	ESA41790	15221	16606	16607	16666	16667	17104
NCU09301	ESA41790	16667	17104	17105	17155	17156	20558
NCU09299	EAA29209	25355	25683	25684	26464	26465	26571
NCU09299	EAA29209	26465	26571	26572	26683	26684	27256
NCU11409	EDO65430	27574	30045	30046	30102	30103	31375
NCU11410	EDO65431	31558	33017	33018	33082	33083	33772
NCU09297	EAA29207	34072	34587	34588	34742	34743	38571
NCU09295	EAA29205	43876	45193	45194	45256	45257	45903
NCU09294	EAA29204	47166	47298	47299	47393	47394	47460
NCU09294	EAA29204	47394	47460	47461	47571	47572	48471
NCU09294	EAA29204	47572	48471	48472	48651	48652	49391
NCU09294	EAA29204	48652	49391	49392	49766	49767	49774
NCU09293	EAA28909	51151	51616	51617	51932	51933	52158
NCU17154	ESA41797	52905	54834	54835	54911	54912	54974
NCU17154	ESA41797	54912	54974	54975	55039	55040	55057
NCU17154	ESA41797	55040	55057	55058	55130	55131	56222
NCU09291	EAA28907	58771	59444	59445	59535	59536	60278
NCU09290	EAA28906	60359	60881	60882	61066	61067	61112
NCU09290	EAA28906	61067	61112	61113	61228	61229	61243
NCU09290	EAA28906	61229	61243	61244	61365	61366	61400
NCU09290	EAA28906	61366	61400	61401	61483	61484	61724
NCU09290	EAA28906	61484	61724	61725	61852	61853	62582
NCU09289	EAA28905	62964	63053	63054	63305	63306	63391
NCU09289	EAA28905	63306	63391	63392	63670	63671	63785
NCU09288	EAA28904	64250	66406	66407	66646	66647	67930
NCU09287	EAA28903	70827	71051	71052	71120	71121	71600
NCU09287	EAA28903	71121	71600	71601	71699	71700	71944
NCU09287	EAA28903	71700	71944	71945	72021	72022	73411
NCU11411	EDO65432	73707	74020	74021	74090	74091	75531
NCU09285	EAA28901	75521	77512	77513	77580	77581	78411
NCU09285	EAA28901	77581	78411	78412	78478	78479	78828
NCU12058	ESA41799	75640	75735	75736	75805	75806	75850
NCU12058	ESA41799	75806	75850	75851	75923	75924	76967
NCU12058	ESA41799	75924	76967	76968	77034	77035	77108
NCU12058	ESA41799	77035	77108	77109	77179	77180	77261
NCU12057	ESA41800	85092	85481	85482	85588	85589	85699
NCU09283	EAA29266	85892	88782	88783	88839	88840	89396
NCU09282	EAA29265	90082	90867	90868	90920	90921	93835
NCU09281	EAA29264	93779	94378	94379	94473	94474	97154
NCU09280	EAA29263	97674	99539	99540	99592	99593	99690
NCU09279	EAA29262	103088	103291	103292	103342	103343	103421
NCU09279	EAA29262	103343	103421	103422	103472	103473	103484
NCU09279	EAA29262	103473	103484	103485	103551	103552	103569
NCU09279	EAA29262	103552	103569	103570	103629	103630	103681
